scenario_id,pool,topology,conflict_edge_count,relation,old_full_success,old_collision,old_unresolved,old_timeout,old_steps,old_interaction_share,old_interaction_segments,old_mean_linear,old_mean_abs_angular,old_mean_progress,old_mean_nearest,old_high_speed_close_rate,old_negative_progress_rate,old_stagnant_rate,old_multi_local_rate,old_max_concurrent_interaction,ie2_full_success,ie2_collision,ie2_unresolved,ie2_timeout,ie2_steps,ie2_interaction_share,ie2_interaction_segments,ie2_mean_linear,ie2_mean_abs_angular,ie2_mean_progress,ie2_mean_nearest,ie2_high_speed_close_rate,ie2_negative_progress_rate,ie2_stagnant_rate,ie2_multi_local_rate,ie2_max_concurrent_interaction
dense-20260718008844-6a4d4c9d3432,dense,edge1,1,tied,1,0,0,0,11,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,17,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006824-1d6bfde3696b,standard,multi,2,tied,1,0,0,0,86,0.20714285714285716,4,0.40646185725927353,0.9642624855041504,-0.011898800672105631,1.1734159699497941,0.0,0.6206896551724138,0.8275862068965517,0.1724137931034483,1,1,0,0,0,20,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008963-4a471efb701b,dense,multi,2,tied,1,0,0,0,23,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,32,0.04838709677419355,1,0.3184674282868703,0.7182212422291437,0.009792496643100371,,0.0,0.6666666666666666,0.6666666666666666,0.0,1
standard-20260717006887-be7f7f1a94d9,standard,zero,0,tied,1,0,0,0,21,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,26,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717007088-033b1657f29f,standard,edge1,1,tied,1,0,0,0,25,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,16,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008269-a9e0091618d0,dense,zero,0,tied,1,0,0,0,12,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,12,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008619-8e9ef62ae0d0,dense,multi,3,ie2_degraded,1,0,0,0,49,0.3150684931506849,4,0.19857333859671716,0.8937006455886624,-0.008567912676027172,0.8863702287657113,0.021739130434782608,0.5652173913043478,0.8913043478260869,0.2391304347826087,2,0,2,0,0,22,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008720-d970733fd730,dense,multi,5,ie2_degraded,1,0,0,0,34,0.06097560975609756,1,0.1562353104352951,0.8947829127311706,0.007037873393867411,0.6992744850169583,0.2,0.6,0.6,0.4,1,0,1,0,0,18,0.03508771929824561,1,0.003291010856628418,0.9854610562324524,-0.00027545905858750164,0.6530015085007403,0.0,0.5,1.0,1.0,1
dense-20260718008770-bb411710815f,dense,multi,3,tied,0,2,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,2,0,0,14,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008825-271a6cf36173,dense,edge1,1,tied,1,0,0,0,38,0.24615384615384617,1,0.31322822719812393,1.0,-0.013113176127543327,,0.0,0.6875,0.875,0.0,1,1,0,0,0,39,0.23943661971830985,1,0.28381475806236267,1.0,-0.004612940380233514,,0.0,0.47058823529411764,0.8235294117647058,0.0,1
dense-20260718009149-779b4acf72aa,dense,multi,3,tied,0,0,1,1,300,0.766016713091922,15,0.0036187274415384637,0.7782266808737238,0.00042030523367430337,0.839809673724154,0.0,0.509090909090909,0.8981818181818182,0.025454545454545455,1,0,3,0,0,34,0.1388888888888889,3,0.4750337675213814,0.7233135610818863,0.010925504247075946,0.7143879820093518,0.1,0.1,0.3,0.0,1
standard-20260717006583-a45fa2d13895,standard,edge1,1,ie2_degraded,1,0,0,0,26,0.04477611940298507,1,0.5117252077907324,0.9450717369715372,0.04403066575629788,3.170118401586404,0.3333333333333333,0.0,0.0,0.0,1,0,1,0,0,30,0.04225352112676056,1,0.3129154443740845,0.8572207887967428,0.015175300830876518,0.6338193395486643,0.0,0.0,0.3333333333333333,0.0,1
standard-20260717006517-ffa6d3b0fb1f,standard,edge1,1,tied,1,0,0,0,17,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006407-457651261137,standard,multi,2,tied,0,1,0,0,33,0.04878048780487805,1,0.26379091292619705,0.9904561787843704,0.009819015316379354,1.4018959638060142,0.0,0.5,0.5,0.25,1,0,1,0,0,26,0.05194805194805195,1,0.04674778878688812,0.3821547720581293,0.007529160333124951,1.0353650017107587,0.0,0.0,0.0,1.0,1
dense-20260718008303-8dc4b10f5951,dense,multi,2,tied,0,2,0,0,12,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,2,0,0,45,0.0375,1,0.9998766581217448,1.0,-0.11009107414813861,,0.0,1.0,1.0,0.0,1
