seed,episode,scenario_id,robot,full_success,active_steps,first_mode,last_mode,first_probability,mean_probability,visible_switches,controller_switches,run_signature,run_lengths
20260910,17,dense-20260718009864-44fb8f6d6e09,r2,1,4,dense,dense,0.837384819984436,0.8929809629917145,0,1,dense,dense:4
20260910,17,dense-20260718009864-44fb8f6d6e09,r3,1,23,dense,standard,0.7707817554473877,0.5293043994385264,1,2,dense -> standard,dense:18;standard:5
20260910,17,dense-20260718009864-44fb8f6d6e09,r4,1,23,dense,standard,0.7497676610946655,0.5016532556518264,1,2,dense -> standard,dense:20;standard:3
20260910,17,dense-20260718009864-44fb8f6d6e09,r5,1,16,dense,standard,0.650352418422699,0.44900301471352577,1,2,dense -> standard,dense:12;standard:4
20260910,18,dense-20260718009600-37a8587b6168,r1,0,31,dense,standard,0.8592135310173035,0.6599877255578195,1,2,dense -> standard,dense:28;standard:3
20260910,18,dense-20260718009600-37a8587b6168,r2,0,9,dense,standard,0.655928909778595,0.35622406005859375,1,2,dense -> standard,dense:6;standard:3
20260910,18,dense-20260718009600-37a8587b6168,r3,0,23,dense,standard,0.6666436195373535,0.529548224547635,1,2,dense -> standard,dense:18;standard:5
20260910,18,dense-20260718009600-37a8587b6168,r4,0,28,dense,standard,0.8257104754447937,0.603879412769207,1,2,dense -> standard,dense:18;standard:10
20260910,18,dense-20260718009600-37a8587b6168,r5,0,11,dense,standard,0.6084957718849182,0.3491893153298985,1,2,dense -> standard,dense:6;standard:5
20260910,19,dense-20260718009647-4a65a43d9b04,r1,1,10,dense,dense,0.7282657027244568,0.8672175407409668,0,1,dense,dense:10
20260910,19,dense-20260718009647-4a65a43d9b04,r2,1,13,dense,standard,0.7752500176429749,0.6062925882064379,1,2,dense -> standard,dense:10;standard:3
20260910,19,dense-20260718009647-4a65a43d9b04,r3,1,25,dense,standard,0.9367960691452026,0.4903391516208649,1,2,dense -> standard,dense:16;standard:9
20260910,19,dense-20260718009647-4a65a43d9b04,r4,1,7,dense,dense,0.8786407113075256,0.9159561140196664,0,1,dense,dense:7
20260910,19,dense-20260718009647-4a65a43d9b04,r5,1,27,dense,standard,0.727514922618866,0.31457260720155855,1,2,dense -> standard,dense:12;standard:15
20260910,20,dense-20260718009734-4dc7a5bfc5d0,r1,1,13,dense,dense,0.7387303709983826,0.7844981321921716,0,1,dense,dense:13
20260910,20,dense-20260718009734-4dc7a5bfc5d0,r2,1,33,dense,standard,0.7255035042762756,0.48334344961878023,1,2,dense -> standard,dense:20;standard:13
20260910,20,dense-20260718009734-4dc7a5bfc5d0,r3,1,10,dense,dense,0.5728727579116821,0.4915684998035431,0,1,dense,dense:10
20260910,20,dense-20260718009734-4dc7a5bfc5d0,r4,1,21,dense,standard,0.7595352530479431,0.30690345043937367,1,2,dense -> standard,dense:6;standard:15
20260910,20,dense-20260718009734-4dc7a5bfc5d0,r5,1,16,standard,standard,0.3726177215576172,0.2461193697527051,0,0,standard,standard:16
20260910,21,dense-20260718009816-8345c05e538b,r1,1,15,dense,standard,0.6810534000396729,0.4065769056479136,1,2,dense -> standard,dense:12;standard:3
20260910,21,dense-20260718009816-8345c05e538b,r2,1,25,dense,standard,0.7476510405540466,0.5183881960809231,1,2,dense -> standard,dense:18;standard:7
20260910,21,dense-20260718009816-8345c05e538b,r3,1,27,dense,standard,0.7450606226921082,0.3492888570935638,1,2,dense -> standard,dense:10;standard:17
20260910,21,dense-20260718009816-8345c05e538b,r4,1,31,dense,standard,0.8954200744628906,0.3990237490544396,1,2,dense -> standard,dense:16;standard:15
20260910,21,dense-20260718009816-8345c05e538b,r5,1,16,dense,standard,0.8087133169174194,0.7455625645816326,1,2,dense -> standard,dense:14;standard:2
20260910,22,dense-20260718009820-502a90af86bc,r1,0,8,dense,dense,0.738042414188385,0.7656837552785873,0,1,dense,dense:8
20260910,22,dense-20260718009820-502a90af86bc,r2,0,11,standard,dense,0.28763243556022644,0.4805545779791745,1,1,standard -> dense,standard:4;dense:7
20260910,22,dense-20260718009820-502a90af86bc,r3,0,5,dense,dense,0.8118130564689636,0.7118840336799621,0,1,dense,dense:5
20260910,22,dense-20260718009820-502a90af86bc,r4,0,14,dense,standard,0.5950774550437927,0.4169208002941949,1,2,dense -> standard,dense:8;standard:6
20260910,22,dense-20260718009820-502a90af86bc,r5,0,7,dense,dense,0.6756531596183777,0.6425874616418566,0,1,dense,dense:7
20260910,23,dense-20260718009588-fd1401c4c57e,r1,1,17,dense,standard,0.791993260383606,0.36108317730181355,1,2,dense -> standard,dense:8;standard:9
20260910,23,dense-20260718009588-fd1401c4c57e,r2,1,11,dense,standard,0.4870050847530365,0.3907433504408056,1,2,dense -> standard,dense:6;standard:5
20260910,23,dense-20260718009588-fd1401c4c57e,r3,1,18,dense,standard,0.8699926137924194,0.6971984687778685,1,2,dense -> standard,dense:14;standard:4
20260910,23,dense-20260718009588-fd1401c4c57e,r4,1,18,dense,dense,0.6439861059188843,0.7204306423664093,0,1,dense,dense:18
20260910,23,dense-20260718009588-fd1401c4c57e,r5,1,15,dense,standard,0.5738518238067627,0.24735374475518862,1,2,dense -> standard,dense:6;standard:9
20260910,24,dense-20260718009610-b78cd6588459,r1,0,10,dense,standard,0.5625560879707336,0.2787254571914673,1,2,dense -> standard,dense:6;standard:4
20260910,24,dense-20260718009610-b78cd6588459,r2,0,33,dense,standard,0.7290548086166382,0.6064863087552966,1,2,dense -> standard,dense:28;standard:5
20260910,24,dense-20260718009610-b78cd6588459,r3,0,4,standard,standard,0.2522784471511841,0.3368648290634155,0,0,standard,standard:4
20260910,24,dense-20260718009610-b78cd6588459,r4,0,5,dense,dense,0.4899804890155792,0.39338815212249756,0,1,dense,dense:5
20260910,24,dense-20260718009610-b78cd6588459,r5,0,8,dense,dense,0.6970303058624268,0.5300603955984116,0,1,dense,dense:8
20260910,25,dense-20260718009635-a48f762406d3,r1,0,15,dense,dense,0.8255351781845093,0.8582564234733582,0,1,dense,dense:15
20260910,25,dense-20260718009635-a48f762406d3,r2,0,34,dense,standard,0.8771711587905884,0.440803876694511,1,2,dense -> standard,dense:14;standard:20
20260910,25,dense-20260718009635-a48f762406d3,r3,0,16,dense,standard,0.49342477321624756,0.28228112077340484,1,2,dense -> standard,dense:8;standard:8
20260910,25,dense-20260718009635-a48f762406d3,r4,0,5,dense,dense,0.8542662858963013,0.9304566621780396,0,1,dense,dense:5
20260910,25,dense-20260718009635-a48f762406d3,r5,0,22,dense,standard,0.7654522657394409,0.6151079772548242,1,2,dense -> standard,dense:18;standard:4
20260910,26,dense-20260718009653-20abca89e5ce,r1,0,26,dense,standard,0.7887107729911804,0.5488859437979184,1,2,dense -> standard,dense:18;standard:8
20260910,26,dense-20260718009653-20abca89e5ce,r2,0,11,dense,standard,0.8454866409301758,0.6285163787278262,1,2,dense -> standard,dense:8;standard:3
20260910,26,dense-20260718009653-20abca89e5ce,r3,0,6,dense,dense,0.7684372067451477,0.8480910062789917,0,1,dense,dense:6
20260910,26,dense-20260718009653-20abca89e5ce,r4,0,26,dense,standard,0.7812628746032715,0.6869534437473004,1,2,dense -> standard,dense:22;standard:4
20260910,26,dense-20260718009653-20abca89e5ce,r5,0,21,dense,standard,0.6932403445243835,0.622667181349936,1,2,dense -> standard,dense:18;standard:3
20260910,27,dense-20260718009697-385a7c884b01,r1,1,19,dense,standard,0.5934211015701294,0.6779634513353047,1,2,dense -> standard,dense:16;standard:3
20260910,27,dense-20260718009697-385a7c884b01,r2,1,9,dense,dense,0.4410657286643982,0.7465515732765198,0,1,dense,dense:9
20260910,27,dense-20260718009697-385a7c884b01,r3,1,5,dense,dense,0.7347907423973083,0.6687771439552307,0,1,dense,dense:5
20260910,27,dense-20260718009697-385a7c884b01,r4,1,6,dense,dense,0.8136928677558899,0.7375158866246542,0,1,dense,dense:6
20260910,27,dense-20260718009697-385a7c884b01,r5,1,10,dense,dense,0.5470572710037231,0.5197229623794556,0,1,dense,dense:10
20260910,28,dense-20260718009733-5ca97932e5ca,r1,1,27,dense,standard,0.4927751421928406,0.25255308727975245,1,2,dense -> standard,dense:8;standard:19
20260910,28,dense-20260718009733-5ca97932e5ca,r2,1,11,dense,dense,0.540436327457428,0.6827566569501703,0,1,dense,dense:11
20260910,28,dense-20260718009733-5ca97932e5ca,r3,1,11,dense,standard,0.5417294502258301,0.3830431035973809,1,2,dense -> standard,dense:8;standard:3
20260910,28,dense-20260718009733-5ca97932e5ca,r4,1,18,dense,standard,0.6263432502746582,0.28230956320961315,1,2,dense -> standard,dense:8;standard:10
20260910,28,dense-20260718009733-5ca97932e5ca,r5,1,9,dense,standard,0.6133540868759155,0.3423646092414856,1,2,dense -> standard,dense:6;standard:3
20260910,29,dense-20260718009650-5291f4b6745f,r1,1,12,dense,standard,0.7704389095306396,0.5455113599697748,1,2,dense -> standard,dense:10;standard:2
20260910,29,dense-20260718009650-5291f4b6745f,r2,1,19,dense,standard,0.6514768004417419,0.5561152367215407,1,2,dense -> standard,dense:16;standard:3
20260910,29,dense-20260718009650-5291f4b6745f,r3,1,19,dense,standard,0.6207612752914429,0.6127347303064246,1,2,dense -> standard,dense:18;standard:1
20260910,29,dense-20260718009650-5291f4b6745f,r4,1,11,dense,standard,0.6876895427703857,0.429088679226962,1,2,dense -> standard,dense:8;standard:3
20260910,29,dense-20260718009650-5291f4b6745f,r5,1,10,dense,dense,0.8642665147781372,0.9477058410644531,0,1,dense,dense:10
20260910,30,dense-20260718009818-dcacdf6e6780,r1,0,8,dense,dense,0.5037975907325745,0.7767471820116043,0,1,dense,dense:8
20260910,30,dense-20260718009818-dcacdf6e6780,r2,0,10,dense,standard,0.7932515144348145,0.5476881682872772,1,2,dense -> standard,dense:8;standard:2
20260910,30,dense-20260718009818-dcacdf6e6780,r3,0,6,dense,dense,0.8303370475769043,0.9016539653142294,0,1,dense,dense:6
20260910,30,dense-20260718009818-dcacdf6e6780,r4,0,20,dense,standard,0.6311237812042236,0.5628763303160668,1,2,dense -> standard,dense:16;standard:4
20260910,30,dense-20260718009818-dcacdf6e6780,r5,0,14,dense,standard,0.9643456935882568,0.6133071141583579,1,2,dense -> standard,dense:10;standard:4
20260910,31,dense-20260718009848-e6d31e5f8214,r1,1,15,dense,dense,0.6079607009887695,0.5757258693377177,0,1,dense,dense:15
20260910,31,dense-20260718009848-e6d31e5f8214,r2,1,21,dense,standard,0.7264066338539124,0.2826502450874874,1,2,dense -> standard,dense:6;standard:15
20260910,31,dense-20260718009848-e6d31e5f8214,r3,1,9,dense,dense,0.6121292114257812,0.7357557283507453,0,1,dense,dense:9
20260910,31,dense-20260718009848-e6d31e5f8214,r4,1,8,dense,dense,0.7046698331832886,0.6544982939958572,0,1,dense,dense:8
20260910,31,dense-20260718009848-e6d31e5f8214,r5,1,10,dense,dense,0.4909585416316986,0.5722470164299012,0,1,dense,dense:10
20260910,32,dense-20260718009589-133ba33f851b,r1,1,18,dense,standard,0.8491665124893188,0.6647449019882414,1,2,dense -> standard,dense:14;standard:4
20260910,32,dense-20260718009589-133ba33f851b,r2,1,8,dense,standard,0.44357386231422424,0.29643178917467594,1,2,dense -> standard,dense:6;standard:2
